date,stock_id,stock_name
2025-01-08,2498,宏達電
2025-01-08,3019,亞光
2025-01-08,3025,星通
2025-01-08,3029,零壹
2025-01-08,3032,偉訓
2025-01-08,3041,揚智
2025-01-08,3059,華晶科
2025-01-08,3078,僑威
2025-01-08,3081,聯亞
2025-01-08,3088,艾訊
2025-01-08,3147,大綜
2025-01-08,3163,波若威
2025-01-08,3167,大量
2025-01-08,3189,景碩
2025-01-08,3211,順達
2025-01-08,3230,錦明
2025-01-08,3323,加百裕
2025-01-08,3324,雙鴻
2025-01-08,3362,先進光
2025-01-08,3363,上詮
2025-01-08,3376,新日興
2025-01-08,3406,玉晶光
2025-01-08,3443,創意
2025-01-08,3450,聯鈞
2025-01-08,3491,昇達科
2025-01-08,3548,兆例
2025-01-08,3558,神準
2025-01-08,3645,達邁
2025-01-08,3661,世芯-KY
2025-01-08,3694,海華
2025-01-08,3706,神達
2025-01-08,4303,信立
2025-01-08,4510,高鋒
2025-01-08,4540,全球傳動
2025-01-08,4549,桓達
2025-01-08,4561,健椿
2025-01-08,4562,穎漢
2025-01-08,4571,鈞興-KY
2025-01-08,4576,大銀微系統
2025-01-08,4583,台灣精銳
2025-01-08,4908,前鼎
2025-01-08,4912,聯德控股-KY
2025-01-08,4931,新盛力
2025-01-08,4953,緯軟
2025-01-08,4968,立積
2025-01-08,4974,亞泰
2025-01-08,4977,眾達-KY
2025-01-08,4979,華星光
2025-01-08,4991,環宇-KY
2025-01-08,5243,乙盛-KY
2025-01-08,5269,祥碩
2025-01-08,5309,系統電
2025-01-08,5347,世界
2025-01-08,5371,中光電
2025-01-08,5388,中磊
2025-01-08,5392,能率
2025-01-08,5439,高技
2025-01-08,5474,
2025-01-08,5522,遠雄
2025-01-08,5536,聖暉*
2025-01-08,6104,創惟
2025-01-08,6187,萬潤
2025-01-08,6191,精成科
2025-01-08,6214,精誠
2025-01-08,6215,和椿
2025-01-08,6223,旺矽
2025-01-08,6285,啟碁
2025-01-08,6415,矽力*-KY
2025-01-08,6438,迅得
2025-01-08,6442,光聖
2025-01-08,6446,藥華藥
2025-01-08,6451,訊芯-KY
