date,group,rank,stock_id,change_0905,is_limit_up
2025-08-04,工業電腦,5,3416,-0.66,False
2025-08-04,廠務,1,6667,-0.2,False
2025-08-04,廠務,2,6139,-0.76,False
2025-08-04,廠務,3,2404,-0.85,False
2025-08-04,廠務,4,6691,-0.93,False
2025-08-04,廠務,5,5536,-1.52,False
2025-08-04,探針卡,1,6217,-1.75,False
2025-08-04,探針卡,2,6223,-1.94,False
2025-08-04,散熱,1,3338,2.21,False
2025-08-04,散熱,2,3013,1.6,False
2025-08-04,散熱,3,6805,0.87,False
2025-08-04,散熱,4,3324,-0.3,False
2025-08-04,散熱,5,2421,-0.43,False
2025-08-04,晶圓代工,1,2303,-0.73,False
2025-08-04,晶圓代工,2,5347,-0.84,False
2025-08-04,晶圓代工,3,2330,-0.88,False
2025-08-04,板卡,1,3515,0.85,False
2025-08-04,板卡,2,6150,0.15,False
2025-08-04,板卡,3,2377,0.0,False
2025-08-04,板卡,4,2376,-0.36,False
2025-08-04,模具沖壓,1,1569,4.9,False
2025-08-04,模具沖壓,2,1586,0.0,False
2025-08-04,模具沖壓,3,5284,-0.25,False
2025-08-04,模具沖壓,4,8071,-0.56,False
2025-08-04,模具沖壓,5,4942,-0.67,False
2025-08-04,機器人,1,4555,8.11,False
2025-08-04,機器人,2,3019,5.45,False
2025-08-04,機器人,3,3708,4.44,False
2025-08-04,機器人,4,6209,2.46,False
2025-08-04,機器人,5,6215,0.0,False
2025-08-04,機殼,1,3013,1.6,False
2025-08-04,機殼,2,3518,0.32,False
2025-08-04,機殼,3,3693,-0.16,False
2025-08-04,機殼,4,6117,-0.55,False
2025-08-04,機殼,5,5465,-0.59,False
2025-08-04,汽車,1,9941,-0.4,False
2025-08-04,汽車,2,2206,-0.48,False
2025-08-04,汽車,3,2207,-0.55,False
2025-08-04,汽車,4,2247,-1.39,False
2025-08-04,汽車,5,2258,-1.58,False
2025-08-04,滑軌,1,2059,-0.76,False
2025-08-04,滑軌,2,6584,-2.36,False
2025-08-04,營建,1,3521,3.86,False
2025-08-04,營建,2,2535,1.32,False
2025-08-04,營建,3,2442,0.94,False
2025-08-04,營建,4,5531,0.72,False
2025-08-04,營建,5,3056,0.6,False
2025-08-04,特化,1,1773,-0.79,False
2025-08-04,特化,2,1727,-1.36,False
2025-08-04,特化,3,1717,-1.45,False
2025-08-04,特化,4,4772,-1.55,False
2025-08-04,特化,5,5234,-1.58,False
2025-08-04,玻纖布,1,1815,1.82,False
2025-08-04,玻纖布,2,1802,0.0,False
2025-08-04,玻纖布,3,1809,-1.52,False
2025-08-04,玻纖布,4,5475,-2.75,False
2025-08-04,玻纖布,5,5340,-2.76,False
2025-08-04,生技醫療,1,6576,4.93,False
2025-08-04,生技醫療,2,3373,1.74,False
2025-08-04,生技醫療,3,6492,1.72,False
2025-08-04,生技醫療,4,6875,0.65,False
2025-08-04,生技醫療,5,1762,0.53,False
2025-08-04,生物製劑,1,6576,4.93,False
2025-08-04,生物製劑,2,6446,1.71,False
2025-08-04,生物製劑,3,4174,0.31,False
2025-08-04,生物製劑,4,4133,0.18,False
2025-08-04,生物製劑,5,6712,0.0,False
2025-08-04,矽晶圓指標,1,6488,-0.87,False
2025-08-04,矽晶圓指標,2,3707,-1.34,False
2025-08-04,矽晶圓指標,3,3016,-1.66,False
2025-08-04,矽晶圓指標,4,6182,-1.88,False
2025-08-04,矽晶圓指標,5,5483,-1.96,False
2025-08-04,砷化鎵,1,8086,-0.98,False
2025-08-04,砷化鎵,2,3105,-1.52,False
2025-08-04,砷化鎵,3,2455,-2.34,False
2025-08-04,筆記型電腦,1,2364,0.99,False
2025-08-04,筆記型電腦,2,2357,-0.45,False
2025-08-04,筆記型電腦,3,2353,-1.4,False
2025-08-04,筆記型電腦,4,2362,-1.46,False
2025-08-04,網路通訊,1,8097,0.96,False
2025-08-04,網路通訊,2,6152,0.9,False
2025-08-04,網路通訊,3,2498,0.49,False
2025-08-04,網路通訊,4,5388,0.45,False
2025-08-04,網路通訊,5,3447,0.36,False
2025-08-04,航空,1,6757,-0.12,False
2025-08-04,航空,2,2646,-0.39,False
2025-08-04,航空,3,2618,-0.39,False
2025-08-04,航空,4,2610,-0.49,False
2025-08-04,航空,5,5609,-1.04,False
2025-08-04,螺絲螺帽,1,2027,0.26,False
2025-08-04,被動元件,1,3624,2.86,False
2025-08-04,被動元件,2,2428,1.82,False
2025-08-04,被動元件,3,6862,0.68,False
2025-08-04,被動元件,4,3236,0.61,False
2025-08-04,被動元件,5,2472,-0.13,False
2025-08-04,記憶體,1,8096,-0.12,False
2025-08-04,記憶體,2,2451,-0.53,False
2025-08-04,記憶體,3,5289,-0.88,False
2025-08-04,記憶體,4,8112,-0.95,False
2025-08-04,記憶體,5,8150,-1.15,False
2025-08-04,記憶體封測,1,2441,-0.65,False
2025-08-04,記憶體封測,2,6239,-1.21,False
2025-08-04,記憶體封測,3,2329,-1.77,False
2025-08-04,設備儀器商,1,6234,5.73,False
2025-08-04,設備儀器商,2,5493,1.59,False
2025-08-04,設備儀器商,3,2360,1.48,False
2025-08-04,設備儀器商,4,2070,1.15,False
2025-08-04,設備儀器商,5,6215,0.0,False
2025-08-04,設計IP,1,3529,-0.49,False
2025-08-04,設計IP,2,6531,-0.57,False
2025-08-04,設計IP,3,3661,-0.77,False
2025-08-04,設計IP,4,3443,-0.8,False
2025-08-04,設計IP,5,8227,-0.95,False
2025-08-04,貨櫃,1,2609,-0.98,False
2025-08-04,貨櫃,2,2603,-1.5,False
2025-08-04,貨櫃,3,2615,-1.77,False
2025-08-04,車用零組件,1,4551,6.61,False
2025-08-04,車用零組件,2,1536,1.74,False
2025-08-04,車用零組件,3,4566,0.9,False
2025-08-04,車用零組件,4,1586,0.0,False
2025-08-04,車用零組件,5,4523,0.0,False
2025-08-04,車用電子,1,3306,5.42,False
2025-08-04,車用電子,2,5309,2.85,False
2025-08-04,車用電子,3,2436,-1.24,False
2025-08-04,車用電子,4,4915,-1.36,False
2025-08-04,車用電子,5,3227,-1.5,False
2025-08-04,軍工,1,8045,3.2,False
2025-08-04,軍工,2,2645,1.62,False
2025-08-04,軍工,3,5371,1.53,False
2025-08-04,軍工,4,6829,0.87,False
2025-08-04,軍工,5,5222,0.81,False
2025-08-04,軟體,1,6925,2.52,False
2025-08-04,軟體,2,2427,1.2,False
2025-08-04,軟體,3,6811,1.05,False
2025-08-04,軟體,4,2480,0.0,False
2025-08-04,軟體,5,6112,-0.19,False
2025-08-04,軸承,1,6805,0.87,False
2025-08-04,軸承,2,1582,0.0,False
2025-08-04,軸承,3,3376,-0.85,False
2025-08-04,連接器,1,6418,3.37,False
2025-08-04,連接器,2,3689,1.34,False
2025-08-04,連接器,3,3432,0.0,False
2025-08-04,連接器,4,6126,0.0,False
2025-08-04,連接器,5,2392,-0.87,False
2025-08-04,連接線材,1,6134,7.33,False
2025-08-04,連接線材,2,6133,7.14,False
2025-08-04,連接線材,3,6418,3.37,False
2025-08-04,連接線材,4,6190,1.52,False
2025-08-04,連接線材,5,5488,0.73,False
2025-08-04,遊戲產業,1,3293,0.26,False
2025-08-04,遊戲產業,2,5263,0.0,False
2025-08-04,遊戲產業,3,5478,0.0,False
2025-08-04,遊戲產業,4,6180,-0.16,False
2025-08-04,遊戲產業,5,6111,-0.21,False
2025-08-04,重電,1,8937,1.32,False
2025-08-04,重電,2,1504,0.89,False
2025-08-04,重電,3,2371,0.28,False
2025-08-04,重電,4,8038,0.0,False
2025-08-04,重電,5,9958,-0.52,False
2025-08-04,金控,1,2891,0.6,False
2025-08-04,金控,2,2880,0.52,False
2025-08-04,金控,3,2886,0.35,False
2025-08-04,金控,4,2892,0.17,False
2025-08-04,金控,5,2885,0.16,False
2025-08-04,鋼鐵,1,2027,0.26,False
2025-08-04,鋼鐵,2,2010,-0.76,False
2025-08-04,鋼鐵,3,2009,-0.92,False
2025-08-04,鋼鐵,4,2006,-0.94,False
2025-08-04,鋼鐵,5,5014,-0.98,False
2025-08-04,鑽孔,1,4577,9.98,True
2025-08-04,鑽孔,2,6234,5.73,False
2025-08-04,鑽孔,3,5498,2.83,False
2025-08-04,鑽孔,4,8074,2.73,False
2025-08-04,鑽孔,5,8074,2.73,False
2025-08-04,電供,1,2420,0.54,False
2025-08-04,電供,2,3078,0.34,False
2025-08-04,電供,3,8109,-0.24,False
2025-08-04,電供,4,2385,-0.38,False
2025-08-04,電供,5,3296,-0.42,False
2025-08-04,電信,1,2412,0.77,False
2025-08-04,電信,2,4904,0.49,False
2025-08-04,電信,3,3045,0.47,False
2025-08-04,電信,4,6561,-0.11,False
2025-08-04,電子化工材料,1,1785,-1.18,False
2025-08-04,電子化工材料,2,3551,-1.22,False
2025-08-04,電子化工材料,3,1727,-1.36,False
2025-08-04,電子化工材料,4,3663,-1.42,False
2025-08-04,電子化工材料,5,1717,-1.45,False
2025-08-04,電子紙,1,8069,0.0,False
2025-08-04,電子紙,2,6143,-0.86,False
2025-08-04,電線電纜,1,1616,-0.74,False
2025-08-04,電線電纜,2,1609,-1.15,False
2025-08-04,電線電纜,3,1618,-1.2,False
2025-08-04,電線電纜,4,3622,-1.23,False
2025-08-04,電線電纜,5,1612,-1.24,False
2025-08-04,非鐵金屬,1,2027,0.26,False
2025-08-04,非鐵金屬,2,2009,-0.92,False
2025-08-05,ABF,1,3037,2.22,False
2025-08-05,ABF,2,3189,1.48,False
2025-08-05,ABF,3,8046,0.57,False
2025-08-05,BBU,1,4931,2.19,False
2025-08-05,BBU,2,3323,1.11,False
2025-08-05,BBU,3,3211,0.87,False
2025-08-05,BBU,4,6558,0.72,False
2025-08-05,BBU,5,6781,-0.82,False
2025-08-05,CCL,1,8358,4.63,False
2025-08-05,CCL,2,6213,3.4,False
2025-08-05,CCL,3,2368,2.62,False
2025-08-05,CCL,4,2383,2.25,False
2025-08-05,CCL,5,6274,2.12,False
2025-08-05,CPO,1,6706,8.75,False
2025-08-05,CPO,2,7734,2.81,False
2025-08-05,CPO,3,3363,2.65,False
2025-08-05,CPO,4,4977,2.53,False
2025-08-05,CPO,5,6451,2.06,False
2025-08-05,FOPLP,1,5443,1.58,False
2025-08-05,FOPLP,2,3663,1.45,False
2025-08-05,FOPLP,3,8064,1.44,False
2025-08-05,FOPLP,4,6640,1.42,False
2025-08-05,FOPLP,5,2467,1.02,False
2025-08-05,IC 零組件通路商,1,6270,4.04,False
2025-08-05,IC 零組件通路商,2,3048,2.12,False
2025-08-05,IC 零組件通路商,3,3312,0.86,False
2025-08-05,IC 零組件通路商,4,3528,0.81,False
2025-08-05,IC 零組件通路商,5,8072,0.74,False
2025-08-05,IC封測,1,4768,2.27,False
