日期,代碼,名稱,成交金額
2025-03-12,2328,,5247214193.0
2025-03-13,8234,新漢,421093241.0
2025-03-13,4971,IET-KY,500276093.0
2025-03-14,2637,慧洋-KY,3452381671.0
2025-03-14,8096,擎亞,1845796817.0
2025-03-17,8096,擎亞,6993914940.0
2025-03-17,2429,銘旺科,537271768.0
2025-03-17,6227,茂綸,2641607063.0
2025-03-17,6117,迎廣,664986963.0
2025-03-18,4931,新盛力,10343614378.0
2025-03-18,4303,信立,2262313810.0
2025-03-18,6558,興能高,1373626729.0
2025-03-18,5314,世紀*,242004160.0
2025-03-18,6227,茂綸,3446363943.0
2025-03-18,2429,銘旺科,654988281.0
2025-03-18,6117,迎廣,2169258859.0
2025-03-18,3323,加百裕,458014164.0
2025-03-19,8111,立碁,4880778866.0
2025-03-20,3163,波若威,5696176053.0
2025-03-20,3022,威強電,1446114434.0
2025-03-20,4303,信立,1862569439.0
2025-03-20,3081,聯亞,229432313.0
2025-03-20,3213,茂訊,887201771.0
2025-03-20,2468,華經,647469516.0
2025-03-20,2429,銘旺科,1403467850.0
2025-03-20,4971,IET-KY,419352299.0
2025-03-20,6148,驊宏資,473252648.0
2025-03-21,3163,波若威,17610823285.0
2025-03-21,2468,華經,1044059708.0
2025-03-21,6148,驊宏資,1058191912.0
2025-03-24,4979,華星光,9552873248.0
2025-03-24,4510,高鋒,1363752569.0
2025-03-24,2468,華經,1267079221.0
2025-03-24,6148,驊宏資,1483263213.0
2025-03-25,4991,環宇-KY,3799062130.0
2025-03-25,4303,信立,3613764169.0
2025-03-25,2468,華經,618548676.0
2025-03-25,6148,驊宏資,2158739440.0
2025-03-28,4541,晟田,2509487073.0
2025-03-28,7402,邑錡,2105793067.0
2025-04-01,2634,漢翔,3091048304.0
2025-04-01,4541,晟田,2767712472.0
2025-04-01,6227,茂綸,117320617.0
2025-04-01,8222,寶一,2891259335.0
2025-04-01,1736,喬山,804474170.0
2025-04-02,6877,鏵友益,270101212.0
2025-04-08,6148,驊宏資,1646018183.0
2025-04-08,5876,上海商銀,1060727087.0
2025-04-10,2330,,17626050080.0
2025-04-10,2317,鴻海,4393658536.0
2025-04-10,2454,聯發科,2651270700.0
2025-04-10,3661,世芯-KY,1449987385.0
2025-04-10,3163,波若威,151845030.0
2025-04-10,2382,廣達,1260012852.0
2025-04-10,2603,長榮,1152029596.0
2025-04-10,4931,新盛力,91311613.0
2025-04-10,4979,華星光,793843144.0
2025-04-10,3450,聯鈞,1043503391.0
2025-04-10,3017,奇鋐,991183403.0
2025-04-10,2308,台達電,1022045204.0
2025-04-10,2357,華碩,1396919795.0
2025-04-10,6669,緯穎,644154400.0
2025-04-10,2408,南亞科,260263895.0
2025-04-10,2345,智邦,258303091.0
2025-04-10,3019,亞光,175293720.0
2025-04-10,2303,聯電,2180766512.0
2025-04-10,2328,,1521129136.0
2025-04-10,4763,,454911345.0
2025-04-10,2891,中信金,1589829249.0
2025-04-10,2383,台光電,211797662.0
2025-04-10,5439,高技,517274486.0
2025-04-10,4303,信立,115554663.0
2025-04-10,2344,華邦電,522073499.0
2025-04-10,2609,陽明,689559640.0
2025-04-10,1519,華城,524410389.0
2025-04-10,3293,鈊象,482251872.0
2025-04-10,3711,日月光投控,521022306.0
2025-04-10,3211,順達,145827387.0
2025-04-10,2634,漢翔,409280307.0
2025-04-10,3008,大立光,1025059860.0
2025-04-10,4991,環宇-KY,735986274.0
2025-04-10,8096,擎亞,136685358.0
2025-04-10,2059,川湖,208268800.0
2025-04-10,3231,緯創,315597691.0
2025-04-10,8299,群聯,463903620.0
2025-04-10,6781,AES-KY,381751812.0
2025-04-10,2027,大成鋼,669115211.0
2025-04-10,2881,富邦金,790062800.0
2025-04-10,4541,晟田,220716853.0
2025-04-10,2618,長榮航,254295475.0
2025-04-10,8222,寶一,189914590.0
2025-04-10,3491,昇達科,267610801.0
2025-04-10,3665,貿聯-KY,498679328.0
2025-04-10,3034,聯詠,667816632.0
2025-04-10,3037,欣興,1225588592.0
2025-04-10,6805,富世達,400757877.0
2025-04-10,3443,創意,452655350.0
2025-04-10,6223,旺矽,250579296.0
2025-04-10,3035,智原,185676550.0
2025-04-10,3529,力旺,309139285.0
2025-04-10,3324,雙鴻,466158804.0
2025-04-10,3481,群創,570481206.0
2025-04-10,2882,國泰金,1100592800.0
2025-04-10,2049,上銀,2114421084.0
2025-04-10,6515,穎崴,662560430.0
2025-04-10,2404,漢唐,1610727148.0
2025-04-10,8111,立碁,188660153.0
2025-04-10,5274,信驊,164019200.0
2025-04-10,2468,華經,23735977.0
2025-04-10,1569,濱川,54586676.0
2025-04-10,2327,國巨*,457955350.0
2025-04-10,1815,富喬,247437314.0
2025-04-10,2379,瑞昱,268406072.0
2025-04-10,2368,金像電,360648750.0
